   Wavelength  Flux
   3540.500      0.8402635    
   3541.400      0.8336623    
   3542.300      0.8247070    
   3543.200      0.8181286    
   3544.100      0.8218390    
   3545.000      0.8312125    
   3545.900      0.8385115    
   3546.800      0.8426771    
   3547.700      0.8469001    
   3548.600      0.8470014    
   3549.500      0.8476858    
   3550.400      0.8486916    
   3551.300      0.8493988    
   3552.200      0.8521010    
   3553.100      0.8515589    
   3554.000      0.8510309    
   3554.900      0.8551117    
   3555.800      0.8583200    
   3556.700      0.8640074    
   3557.600      0.8688238    
   3558.500      0.8700584    
   3559.400      0.8694263    
   3560.300      0.8700540    
   3561.200      0.8685577    
   3562.100      0.8652343    
   3563.000      0.8626657    
   3563.900      0.8542326    
   3564.800      0.8459470    
   3565.700      0.8411843    
   3566.600      0.8436990    
   3567.500      0.8510795    
   3568.400      0.8531933    
   3569.300      0.8449526    
   3570.200      0.8399113    
   3571.100      0.8390744    
   3572.000      0.8395945    
   3572.900      0.8392790    
   3573.800      0.8473370    
   3574.700      0.8595448    
   3575.600      0.8632216    
   3576.500      0.8615941    
   3577.400      0.8604835    
   3578.300      0.8605400    
   3579.200      0.8537774    
   3580.100      0.8398007    
   3581.000      0.8286195    
   3581.900      0.8272265    
   3582.800      0.8308721    
   3583.700      0.8273413    
   3584.600      0.8226017    
   3585.500      0.8197629    
   3586.400      0.8238412    
   3587.300      0.8416497    
   3588.200      0.8598562    
   3589.100      0.8670287    
   3590.000      0.8631129    
   3590.900      0.8585409    
   3591.800      0.8530192    
   3592.700      0.8458580    
   3593.600      0.8509957    
   3594.500      0.8592339    
   3595.400      0.8565179    
   3596.300      0.8550578    
   3597.200      0.8540334    
   3598.100      0.8532357    
   3599.000      0.8477203    
   3599.900      0.8400220    
   3600.800      0.8371772    
   3601.700      0.8341923    
   3602.600      0.8287864    
   3603.500      0.8336910    
   3604.400      0.8406694    
   3605.300      0.8347767    
   3606.200      0.8323784    
   3607.100      0.8336018    
   3608.000      0.8292030    
   3608.900      0.8234212    
   3609.800      0.8214640    
   3610.700      0.8276595    
   3611.600      0.8298472    
   3612.500      0.8208417    
   3613.400      0.8168294    
   3614.300      0.8327091    
   3615.200      0.8472965    
   3616.100      0.8363745    
   3617.000      0.8200515    
   3617.900      0.8074176    
   3618.800      0.8020555    
   3619.700      0.8066005    
   3620.600      0.8191671    
   3621.500      0.8335162    
   3622.400      0.8380924    
   3623.300      0.8364842    
   3624.200      0.8400912    
   3625.100      0.8512591    
   3626.000      0.8564278    
   3626.900      0.8541684    
   3627.800      0.8532556    
   3628.700      0.8519287    
   3629.600      0.8445401    
   3630.500      0.8325349    
   3631.400      0.8286838    
   3632.300      0.8380308    
   3633.200      0.8491275    
   3634.100      0.8550497    
   3635.000      0.8588344    
   3635.900      0.8569142    
   3636.800      0.8468896    
   3637.700      0.8374352    
   3638.600      0.8367383    
   3639.500      0.8401741    
   3640.400      0.8347599    
   3641.300      0.8266606    
   3642.200      0.8269868    
   3643.100      0.8348402    
   3644.000      0.8399199    
   3644.900      0.8359659    
   3645.800      0.8350161    
   3646.700      0.8366682    
   3647.600      0.8340500    
   3648.500      0.8369982    
   3649.400      0.8428811    
   3650.300      0.8445868    
   3651.200      0.8461677    
   3652.100      0.8532180    
   3653.000      0.8562875    
   3653.900      0.8550028    
   3654.800      0.8557277    
   3655.700      0.8573450    
   3656.600      0.8608587    
   3657.500      0.8619519    
   3658.400      0.8535835    
   3659.300      0.8410763    
   3660.200      0.8362805    
   3661.100      0.8425875    
   3662.000      0.8478478    
   3662.900      0.8445041    
   3663.800      0.8393141    
   3664.700      0.8420502    
   3665.600      0.8455561    
