   Wavelength    Flux
   3540.500      0.6847045    
   3541.400      0.6646169    
   3542.300      0.6973528    
   3543.200      0.7500026    
   3544.100      0.7420863    
   3545.000      0.7135093    
   3545.900      0.7296113    
   3546.800      0.7429335    
   3547.700      0.7454723    
   3548.600      0.7563635    
   3549.500      0.7796294    
   3550.400      0.7697110    
   3551.300      0.7453805    
   3552.200      0.7519146    
   3553.100      0.7484774    
   3554.000      0.6995347    
   3554.900      0.6744540    
   3555.800      0.7147887    
   3556.700      0.7492524    
   3557.600      0.7445787    
   3558.500      0.7252234    
   3559.400      0.7244534    
   3560.300      0.7360154    
   3561.200      0.7437495    
   3562.100      0.7708424    
   3563.000      0.7848040    
   3563.900      0.7126449    
   3564.800      0.6108816    
   3565.700      0.5624041    
   3566.600      0.5778715    
   3567.500      0.6089072    
   3568.400      0.5944830    
   3569.300      0.5384343    
   3570.200      0.5236052    
   3571.100      0.5498937    
   3572.000      0.5843012    
   3572.900      0.6223124    
   3573.800      0.6218141    
   3574.700      0.6110894    
   3575.600      0.6209494    
   3576.500      0.6670363    
   3577.400      0.6890122    
   3578.300      0.6535892    
   3579.200      0.6051576    
   3580.100      0.5437809    
   3581.000      0.5058680    
   3581.900      0.5449503    
   3582.800      0.6274936    
   3583.700      0.6401809    
   3584.600      0.5763407    
   3585.500      0.5220429    
   3586.400      0.5107557    
   3587.300      0.5697889    
   3588.200      0.6198758    
   3589.100      0.6399161    
   3590.000      0.7224303    
   3590.900      0.7873411    
   3591.800      0.7818947    
   3592.700      0.7353861    
   3593.600      0.7033609    
   3594.500      0.7326624    
   3595.400      0.7638857    
   3596.300      0.7655204    
   3597.200      0.7641282    
   3598.100      0.7600895    
   3599.000      0.7927232    
   3599.900      0.8412638    
   3600.800      0.8418812    
   3601.700      0.7440656    
   3602.600      0.6696451    
   3603.500      0.6553396    
   3604.400      0.6448657    
   3605.300      0.6343898    
   3606.200      0.6414547    
   3607.100      0.6437411    
   3608.000      0.5919585    
   3608.900      0.5514940    
   3609.800      0.5773617    
   3610.700      0.6538281    
   3611.600      0.6930153    
   3612.500      0.6355472    
   3613.400      0.5770379    
   3614.300      0.6017863    
   3615.200      0.6745852    
   3616.100      0.7038378    
   3617.000      0.6389317    
   3617.900      0.5180935    
   3618.800      0.4724596    
   3619.700      0.5413724    
   3620.600      0.6018693    
   3621.500      0.6294518    
   3622.400      0.6781284    
   3623.300      0.6983845    
   3624.200      0.6939360    
   3625.100      0.7612780    
   3626.000      0.8354950    
   3626.900      0.8598574    
   3627.800      0.8546310    
   3628.700      0.8153167    
   3629.600      0.7178407    
   3630.500      0.5933273    
   3631.400      0.5351526    
   3632.300      0.5851103    
   3633.200      0.6403204    
   3634.100      0.6445674    
   3635.000      0.6508432    
   3635.900      0.6443427    
   3636.800      0.6759794    
   3637.700      0.7452673    
   3638.600      0.7558040    
   3639.500      0.7556671    
