                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      5.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  5.0000000000000000E+001                 -4.9999999999999991E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      532                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6125716736772289E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6125716736772289E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4250663517007482E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4250663517007482E+001                  3.6476005160155758E+000                  3.8443159508227560E+004                  4.5848190736011079E+000                  2.5204673412220284E+000                  1.0959246753050866E+000                  1.2471671849114434E+001                  5.9211183201861255E+000                 -4.6476373711485230E+000                  9.5719236005476702E+000                  6.2027369756679340E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399760E-003                  3.4416106108120124E-003                  9.3604466091399760E-003                  3.4999999999999986E+001                  1.3998510118237439E+001                 -1.4250663517007482E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.1276443443701614E-004                                        0                                        0 
                                       5                  7.4416000000000000E-005                  5.0000000000000000E+001                 -4.6832750158095005E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      532                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6126964913257946E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6126964913257946E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4250663241977934E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4250663241977934E+001                  3.6476005621981291E+000                  3.8443180058878235E+004                  4.5848193057628732E+000                  2.5204673649378049E+000                  1.0959246278735340E+000                  1.2471670487018544E+001                  5.9211183413679009E+000                 -4.6476372874803644E+000                  9.5719236988420864E+000                  6.2027369754591810E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120124E-003                  9.3604466091399777E-003                  3.4999999999999986E+001                  1.3998510118237439E+001                 -1.4250663241977934E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  8.8419793776607668E-004                                        0                                        0 
                                      10                  2.5958682111999992E-004                  5.0000000000000000E+001                 -4.2873687855713767E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      532                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6130441534544537E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6130441534544537E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4250662451449733E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4250662451449733E+001                  3.6476006520273265E+000                  3.8443224054069702E+004                  4.5848198027784148E+000                  2.5204674337871817E+000                  1.0959244901747802E+000                  1.2471666532712694E+001                  5.9211184029729118E+000                 -4.6476370491023955E+000                  9.5719239813812411E+000                  6.2027369748275929E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120115E-003                  9.3604466091399743E-003                  3.4999999999999986E+001                  1.3998510118237435E+001                 -1.4250662451449733E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.0952671934685142E-004                                        0                                        0 
                                      15                  7.2035107872931792E-004                  5.0000000000000000E+001                 -3.8914625553332525E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      532                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6138408497626489E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6138408497626489E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4250660484321715E+001                 -9.8999999999999986E+001                 -2.9801969570734137E+001                 -1.4250660484321715E+001                  3.6476008993129270E+000                  3.8443341728209605E+004                  4.5848211321453620E+000                  2.5204676038994531E+000                  1.0959241499502370E+000                  1.2471656762463327E+001                  5.9211185569935072E+000                 -4.6476364580691341E+000                  9.5719246844391535E+000                  6.2027369732241588E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120115E-003                  9.3604466091399777E-003                  3.4999999999999986E+001                  1.3998510118237435E+001                 -1.4250660484321715E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.0558905093695349E-004                                        0                                        0 
                                      20                  1.8668799962237360E-003                  5.0000000000000000E+001                 -3.4955563250951283E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      532                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6154770348564762E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6154770348564762E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4250655589532107E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4250655589532107E+001                  3.6476014624926210E+000                  3.8443615377657035E+004                  4.5848242235525261E+000                  2.5204680232436476E+000                  1.0959233112618485E+000                  1.2471632677829401E+001                  5.9211189402208646E+000                 -4.6476349873361329E+000                  9.5719264338581223E+000                  6.2027369692350298E-001                  8.5000496627254207E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120098E-003                  9.3604466091399777E-003                  3.4999999999999972E+001                  1.3998510118237435E+001                 -1.4250655589532107E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  8.9259639622561054E-004                                        0                                        0 
                                      25                  4.7198108322034464E-003                  5.0000000000000000E+001                 -3.0996500948570045E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      532                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6183387761474932E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6183387761474932E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4250643409884859E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4250643409884859E+001                  3.6476025550471012E+000                  3.8444183108018660E+004                  4.5848306371101550E+000                  2.5204690449135017E+000                  1.0959212679221406E+000                  1.2471573999390268E+001                  5.9211198905048121E+000                 -4.6476313179995596E+000                  9.5719307869330432E+000                  6.2027369594517512E-001                  8.5000496627254207E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120094E-003                  9.3604466091399777E-003                  3.4999999999999993E+001                  1.3998510118237439E+001                 -1.4250643409884859E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  8.6999214953723610E-004                                        0                                        0 
                                      30                  1.1818815689988476E-002                  5.0000000000000000E+001                 -2.7037438646188803E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      532                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6221834556142734E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6221834556142734E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4250613103463953E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4250613103463953E+001                  3.6476042849121653E+000                  3.8445228373455466E+004                  4.5848424450562062E+000                  2.5204714891563995E+000                  1.0959163794363442E+000                  1.2471433618216272E+001                  5.9211222325773347E+000                 -4.6476221213241740E+000                  9.5719416186648036E+000                  6.2027369360838058E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120076E-003                  9.3604466091399760E-003                  3.4999999999999986E+001                  1.3998510118237439E+001                 -1.4250613103463953E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  8.3062002537325353E-004                                        0                                        0 
                                      35                  2.9483411457712123E-002                  5.0000000000000000E+001                 -2.3078376343807565E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      532                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6258016001537445E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6258016001537445E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4250537692606468E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4250537692606468E+001                  3.6476065917771954E+000                  3.8447060841957864E+004                  4.5848631449460688E+000                  2.5204772253712702E+000                  1.0959049070066029E+000                  1.2471104174112904E+001                  5.9211279560423495E+000                 -4.6475989302758736E+000                  9.5719685711570754E+000                  6.2027368824405271E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120081E-003                  9.3604466091399777E-003                  3.4999999999999993E+001                  1.3998510118237435E+001                 -1.4250537692606468E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.7934013902753591E-004                                        0                                        0 
                                      40                  7.3438578398454205E-002                  5.0000000000000000E+001                 -1.9119314041426323E+000                  3.4997648454896201E+001                 -9.8999999999999986E+001                                      532                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6299718314437661E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999284526932053E-001                  6.6299718314437661E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4250350046025533E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4250350046025533E+001                  3.6476094148908333E+000                  3.8450416826760760E+004                  4.5849010521889682E+000                  2.5204905327654448E+000                  1.0958782922182544E+000                  1.2470339933161807E+001                  5.9211418187794660E+000                 -4.6475401077302019E+000                  9.5720356374690088E+000                  6.2027367651513865E-001                  8.5000496627254207E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120072E-003                  9.3604466091399760E-003                  3.4999999999999979E+001                  1.3998510118237435E+001                 -1.4250350046025533E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.2530684634493435E-004                                        0                                        0 
