                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      5.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  5.0000000000000000E+000                 -4.9999999999999991E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                      490                  3.3913506137271069E-004                  9.6509114313354039E-001                  5.9858904314577053E-003                  9.9661952424213907E-001                  9.8536853671221436E-001                  9.6509114313354039E-001                  5.9858904314577053E-003                  9.9661952424213907E-001                  9.8536853671221436E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1506967119878791E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1506967119878791E+001                  3.5963285053246348E+000                  3.8513062825257930E+003                  3.5856080580985830E+000                  2.1234058548526482E+000                  8.9004764804384762E-001                  7.7633228622498249E+000                  5.4787481449840394E+000                 -4.6423246131917582E+000                  8.9717405929626199E+000                  6.2100480080496245E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120354E-003                  9.3604466091399760E-003                  3.5000000000000013E+000                  1.3998510118237444E+000                 -2.1506967119878791E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0429936866597377E-001                                        0                                        0 
                                       5                  7.4416000000000000E-005                  5.0000000000000000E+000                 -4.6832750158095005E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                      488                  3.3903649470746523E-004                  9.6509114313354039E-001                  5.9858910515087791E-003                  9.9661952424213907E-001                  9.8536855811519863E-001                  9.6509114313354039E-001                  5.9858910515087791E-003                  9.9661952424213907E-001                  9.8536855811519863E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1506963539970574E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1506963539970574E+001                  3.5956177567818819E+000                  3.8257338319797955E+003                  3.5827147515450406E+000                  2.1233806986613826E+000                  8.9009796042637890E-001                  7.7642222839819075E+000                  5.4787480170812604E+000                 -4.6423236881329872E+000                  8.9717413603109346E+000                  6.2100480142046455E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120350E-003                  9.3604466091399760E-003                  3.5000000000000004E+000                  1.3998510118237444E+000                 -2.1506963539970574E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.4660295946010592E-001                                        0                                        0 
                                      10                  2.5958682111999992E-004                  5.0000000000000000E+000                 -4.2873687855713767E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                      485                  3.3870193493755436E-004                  9.6509114313354027E-001                  5.9858926724351957E-003                  9.9661952424213895E-001                  9.8536862819881499E-001                  9.6509114313354027E-001                  5.9858926724351957E-003                  9.9661952424213895E-001                  9.8536862819881499E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1506953643514617E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1506953643514617E+001                  3.5939001125349654E+000                  3.7646336007224108E+003                  3.5757227141548489E+000                  2.1233199684601201E+000                  8.9021942082890326E-001                  7.7663940303145163E+000                  5.4787479620751780E+000                 -4.6423214645830555E+000                  8.9717434745535183E+000                  6.2100480271048975E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120350E-003                  9.3604466091399760E-003                  3.5000000000000018E+000                  1.3998510118237448E+000                 -2.1506953643514617E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.9886778901993361E-001                                        0                                        0 
                                      15                  7.2035107872931792E-004                  5.0000000000000000E+000                 -3.8914625553332525E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                      485                  3.3750100091131826E-004                  9.6509114313354027E-001                  5.9858958613160486E-003                  9.9661952424213895E-001                  9.8536849739038035E-001                  9.6509114313354027E-001                  5.9858958613160486E-003                  9.9661952424213895E-001                  9.8536849739038035E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1506931275114752E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1506931275114752E+001                  3.5909845849209909E+000                  3.6630321518139640E+003                  3.5638407306476476E+000                  2.1232100319344678E+000                  8.9043929388020782E-001                  7.7703269678977973E+000                  5.4787487671951123E+000                 -4.6423172969496651E+000                  8.9717484079406091E+000                  6.2100480444698480E-001                  8.5000496627254196E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399760E-003                  3.4416106108120345E-003                  9.3604466091399760E-003                  3.5000000000000013E+000                  1.3998510118237448E+000                 -2.1506931275114752E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1643469549811944E-001                                        0                                        0 
                                      20                  1.8668799962237360E-003                  5.0000000000000000E+000                 -3.4955563250951283E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                      489                  3.3166560148824802E-004                  9.6509114313354005E-001                  2.4177641078006591E-004                  9.9684165065007158E-001                  9.8489449001833884E-001                  9.6509114313354005E-001                  2.4177641078006591E-004                  9.9684165065007158E-001                  9.8489449001833884E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1506881107608983E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1506881107608983E+001                  3.5870230963658738E+000                  3.5293184098591514E+003                  3.5476908415299189E+000                  2.1230580644858379E+000                  8.9074322877746825E-001                  7.7757668254413757E+000                  5.4787518968453961E+000                 -4.6423099955041041E+000                  8.9717588882044286E+000                  6.2100480619923537E-001                  8.5000496627254196E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120341E-003                  9.3604466091399777E-003                  3.5000000000000018E+000                  1.3998510118237448E+000                 -2.1506881107608983E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0072946653454183E-001                                        0                                        0 
                                      25                  4.7198108322034464E-003                  5.0000000000000000E+000                 -3.0996500948570045E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                      485                  2.9257077947154533E-004                  9.6612772187299945E-001                  2.4275667301559500E-004                  9.9714883965637491E-001                  9.8338414561289500E-001                  9.6612772187299945E-001                  2.4275667301559500E-004                  9.9714883965637491E-001                  9.8338414561289500E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1506776222896072E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1506776222896072E+001                  3.5839724716696439E+000                  3.4299617291372888E+003                  3.5352892742943101E+000                  2.1229585302604934E+000                  8.9094229722815732E-001                  7.7793318365867838E+000                  5.4787594044536778E+000                 -4.6422967194311759E+000                  8.9717798861531008E+000                  6.2100480801911218E-001                  8.5000496627254196E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120406E-003                  9.3604466091399760E-003                  3.4416106108120341E-003                  9.3604466091399760E-003                  3.5000000000000018E+000                  1.3998510118237448E+000                 -2.1506776222896072E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1626384454068090E-002                                        0                                        0 
                                      30                  1.1818815689988476E-002                  5.0000000000000000E+000                 -2.7037438646188803E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                      485                  1.9482068075432832E-004                  9.6713592047725538E-001                  2.6663170926841053E-004                  9.9997616240934928E-001                  9.8114775285481592E-001                  9.6713592047725538E-001                  2.6663170926841053E-004                  9.9997616240934928E-001                  9.8114775285481592E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1506563862640373E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1506563862640373E+001                  3.5839507919676263E+000                  3.4292701617175753E+003                  3.5352017006650631E+000                  2.1229581028499047E+000                  8.9094315204933394E-001                  7.7793471486490260E+000                  5.4787747734360810E+000                 -4.6422712974361167E+000                  8.9718211556744603E+000                  6.2100481074467728E-001                  8.5000496627254196E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120341E-003                  9.3604466091399760E-003                  3.5000000000000013E+000                  1.3998510118237451E+000                 -2.1506563862640373E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2033584530470701E-004                                        0                                        0 
                                      35                  2.9483411457712123E-002                  5.0000000000000000E+000                 -2.3078376343807565E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                      485                  1.8713550309698302E-004                  9.6999707009854585E-001                  1.7270808235600719E-003                  9.9997616240934928E-001                  9.7863132223969618E-001                  9.6999707009854585E-001                  1.7270808235600719E-003                  9.9997616240934928E-001                  9.7863132223969618E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1506122733821034E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1506122733821034E+001                  3.5840124516284120E+000                  3.4296944963824080E+003                  3.5352554365312874E+000                  2.1228616514614465E+000                  8.9113605482625080E-001                  7.7828033081371695E+000                  5.4788062832496580E+000                 -4.6422196515817351E+000                  8.9719053033409164E+000                  6.2100481600685986E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399760E-003                  3.4416106108120332E-003                  9.3604466091399777E-003                  3.5000000000000013E+000                  1.3998510118237444E+000                 -2.1506122733821034E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.3475862287004602E-003                                        0                                        0 
                                      40                  7.3438578398454205E-002                  5.0000000000000000E+000                 -1.9119314041426323E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                                      484                  1.1982847023323576E-004                  9.7262672494142477E-001                  8.5844827186355396E-004                  9.9997616240934939E-001                  9.7653975563353812E-001                  9.7262672494142477E-001                  8.5844827186355396E-004                  9.9997616240934939E-001                  9.7653975563353812E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1505214619610783E+001                 -9.8999999999999986E+001                 -3.7327719462333661E+001                 -2.1505214619610783E+001                  3.5834545717856816E+000                  3.4075498860492789E+003                  3.5324422225631560E+000                  2.1225708041628408E+000                  8.9171774942346238E-001                  7.7932345893460422E+000                  5.4788705294273656E+000                 -4.6421143402586234E+000                  8.9720768836111571E+000                  6.2100482649403588E-001                  8.5000496627254196E-001                  1.2966439685554807E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120332E-003                  9.3604466091399760E-003                  3.5000000000000013E+000                  1.3998510118237451E+000                 -2.1505214619610783E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.0324649931128016E-003                                        0                                        0 
