                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      5.0000000000000000E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  5.0000000000000000E-001                 -4.9999999999999991E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      580                  0.0000000000000000E+000                  8.6662817456149244E-001                  7.8764322931029043E-002                  5.0988833032154623E-002                  2.3948211780567633E-004                  8.6662817456149244E-001                  7.8764322931029043E-002                  5.0988833032154623E-002                  2.3948211780567633E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0558151088188030E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0558151088188030E+001                  3.6005804271550619E+000                  5.0677834770765173E+001                  1.7048180512154132E+000                  1.1745070077502084E+000                  1.7878453422487270E+000                  6.1354347567421243E+001                  5.4779987969821642E+000                 -2.6944875749789947E+000                  1.0903597703415985E+001                  6.2180130698129021E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.5000000000000014E-001                  1.3998510118237448E-001                 -2.0558151088188030E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1853643517366803E-001                                        0                                        0 
                                       5                  7.4416000000000000E-005                  5.0000000000000000E-001                 -4.6832750158095005E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      580                  0.0000000000000000E+000                  8.6662817456149244E-001                  7.8764322928489547E-002                  5.0988833032154623E-002                  2.3948216768232162E-004                  8.6662817456149244E-001                  7.8764322928489547E-002                  5.0988833032154623E-002                  2.3948216768232162E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0558142723970235E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0558142723970235E+001                  3.5994680023021663E+000                  5.0146895491825319E+001                  1.7002440517631567E+000                  1.1744448577298729E+000                  1.7879696422893980E+000                  6.1371910395626216E+001                  5.4779993041224122E+000                 -2.6944868011168230E+000                  1.0903598991282040E+001                  6.2180130494327124E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.5000000000000014E-001                  1.3998510118237448E-001                 -2.0558142723970235E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1230666531743297E-001                                        0                                        0 
                                      10                  2.5958682111999992E-004                  5.0000000000000000E-001                 -4.2873687855713767E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      580                  0.0000000000000000E+000                  8.7014127389812934E-001                  7.8764322921038368E-002                  5.0988833032154401E-002                  2.3948233774794312E-004                  8.7014127389812934E-001                  7.8764322921038368E-002                  5.0988833032154401E-002                  2.3948233774794312E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0558119274258154E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0558119274258154E+001                  3.5966413368310026E+000                  4.8821793976914371E+001                  1.6886137337038645E+000                  1.1742830296425544E+000                  1.7882932984640350E+000                  6.1417664606129733E+001                  5.4780007011210925E+000                 -2.6944846693902673E+000                  1.0903602538914143E+001                  6.2180129932935324E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.5000000000000014E-001                  1.3998510118237448E-001                 -2.0558119274258154E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.4704506080279763E-002                                        0                                        0 
                                      15                  7.2035107872931792E-004                  5.0000000000000000E-001                 -3.8914625553332525E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      580                  0.0000000000000000E+000                  8.7014127389812934E-001                  7.3006084631751442E-002                  5.6323052524712258E-002                  2.3948295375230308E-004                  8.7014127389812934E-001                  7.3006084631751442E-002                  5.6323052524712258E-002                  2.3948295375230308E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0558064714654154E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0558064714654154E+001                  3.5917587644581777E+000                  4.6610006225857340E+001                  1.6684791609427831E+000                  1.1739808880076634E+000                  1.7888975817338171E+000                  6.1503181463813647E+001                  5.4780038725241686E+000                 -2.6944798300421513E+000                  1.0903610592586293E+001                  6.2180128658559763E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.5000000000000014E-001                  1.3998510118237448E-001                 -2.0558064714654154E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.8847319698469633E-002                                        0                                        0 
                                      20                  1.8668799962237360E-003                  5.0000000000000000E-001                 -3.4955563250951283E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      581                  0.0000000000000000E+000                  8.7357234028847630E-001                  7.3006084551005893E-002                  5.6323052524712258E-002                  2.3948203700351181E-004                  8.7357234028847630E-001                  7.3006084551005893E-002                  5.6323052524712258E-002                  2.3948203700351181E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0557947542754508E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0557947542754508E+001                  3.5849916606174328E+000                  4.3701935921392966E+001                  1.6405006759030527E+000                  1.1735258531692867E+000                  1.7898076514105707E+000                  6.1632197302159661E+001                  5.4780105712777329E+000                 -2.6944696081980593E+000                  1.0903627603840615E+001                  6.2180125967099487E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.5000000000000014E-001                  1.3998510118237448E-001                 -2.0557947542754508E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.6716015676866748E-002                                        0                                        0 
                                      25                  4.7198108322034464E-003                  5.0000000000000000E-001                 -3.0996500948570045E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      581                  0.0000000000000000E+000                  8.7692294841190666E-001                  6.7340925071111585E-002                  5.6323052524712258E-002                  2.3948208391674268E-004                  8.7692294841190666E-001                  6.7340925071111585E-002                  5.6323052524712258E-002                  2.3948208391674268E-004                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0557720168035704E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0557720168035704E+001                  3.5780152551850923E+000                  4.0887382190579999E+001                  1.6115893057957165E+000                  1.1730229789802999E+000                  1.7908133997885440E+000                  6.1775091847905173E+001                  5.4780235929812600E+000                 -2.6944497379761092E+000                  1.0903660671983635E+001                  6.2180120736423639E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.5000000000000014E-001                  1.3998510118237448E-001                 -2.0557720168035704E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4714316621072736E-002                                        0                                        0 
                                      30                  1.1818815689988476E-002                  5.0000000000000000E-001                 -2.7037438646188803E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      577                  0.0000000000000000E+000                  8.8338898464169091E-001                  2.3948317635751173E-004                  9.9306942247165408E-001                  9.3692726938018933E-001                  8.8338898464169091E-001                  2.3948317635751173E-004                  9.9306942247165408E-001                  9.3692726938018933E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0557335907011552E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0557335907011552E+001                  3.5738741608763229E+000                  3.9318357989835903E+001                  1.5945953725669180E+000                  1.1728082009834404E+000                  1.7912429557822631E+000                  6.1836223152968770E+001                  5.4780478684628999E+000                 -2.6944126953198824E+000                  1.0903722318597053E+001                  6.2180110989643578E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.5000000000000014E-001                  1.3998510118237448E-001                 -2.0557335907011552E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6603398906785258E-004                                        0                                        0 
                                      35                  2.9483411457712123E-002                  5.0000000000000000E-001                 -2.3078376343807565E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      577                  0.0000000000000000E+000                  8.8650745759116145E-001                  2.3949344415204201E-004                  9.9370716378152346E-001                  9.3126606073481266E-001                  8.8650745759116145E-001                  2.3949344415204201E-004                  9.9370716378152346E-001                  9.3126606073481266E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0556942484894158E+001                 -9.8999999999999986E+001                 -3.6424629475341725E+001                 -2.0556942484894158E+001                  3.5737659545561971E+000                  3.9297532621089353E+001                  1.5943652831315254E+000                  1.1729095689059958E+000                  1.7910402199371522E+000                  6.1807363718108142E+001                  5.4780931470225642E+000                 -2.6943436036596027E+000                  1.0903837301367377E+001                  6.2180092825335775E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.5000000000000014E-001                  1.3998510118237451E-001                 -2.0556942484894158E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.5674973945215738E-004                                        0                                        0 
                                      40                  7.3438578398454205E-002                  5.0000000000000000E-001                 -1.9119314041426323E+000                  3.2997648454896201E+001                 -9.8999999999999986E+001                                      577                  0.0000000000000000E+000                  8.9252276655661433E-001                  1.2474145250666581E-004                  9.9390680407146537E-001                  9.2977991475821120E-001                  8.9252276655661433E-001                  1.2474145250666581E-004                  9.9390680407146537E-001                  9.2977991475821120E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0557071129974528E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0557071129974528E+001                  3.5736812755905949E+000                  3.9254027214306525E+001                  1.5938842192272509E+000                  1.1728383948850614E+000                  1.7911825679790210E+000                  6.1827625544131408E+001                  5.4781643983141413E+000                 -2.6942348800708369E+000                  1.0904018239850210E+001                  6.2180064282105896E-001                  8.5000496627254207E-001                  1.2966439685554805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.4416106108120410E-003                  9.3604466091399760E-003                  3.5000000000000014E-001                  1.3998510118237451E-001                 -2.0557071129974528E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.9581916048392048E-004                                        0                                        0 
