                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.0000000000000001E-005                  1.0000000000000000E+000                 -4.9999999999999991E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      559                  3.1242084038582728E-007                  9.1619336319348255E-001                  2.4035179941108174E-004                  9.9313863210897024E-001                  9.6670814349104295E-001                  9.1619336319348255E-001                  2.4035179941108174E-004                  9.9313863210897024E-001                  9.6670814349104295E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0868311621630468E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0868311621630468E+001                  3.6345171167246773E+000                  2.6694466494760422E+002                  2.4264212456398191E+000                  1.4674352258231822E+000                  1.5030189017667606E+000                  3.1843361103362938E+001                  5.4782442436314431E+000                 -3.2888207343035267E+000                  1.0312960407117291E+001                  6.2131648145109108E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399743E-003                  3.4416106108120267E-003                  9.3604466091399760E-003                  7.0000000000000107E-001                  2.7997020236474895E-001                 -2.0868311621630468E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.7148763137944298E-001                                        0                                        0 
                                       5                  7.4416000000000000E-005                  1.0000000000000000E+000                 -4.6832750158095005E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      558                  3.1238962142603963E-007                  9.1619336319348255E-001                  2.4035181368079459E-004                  9.9313863210897024E-001                  9.6670814341771705E-001                  9.1619336319348255E-001                  2.4035181368079459E-004                  9.9313863210897024E-001                  9.6670814341771705E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0868305473280614E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0868305473280614E+001                  3.6328521543996541E+000                  2.6278831668032711E+002                  2.4196060529955998E+000                  1.4673575541511186E+000                  1.5031742451108878E+000                  3.1854753232899942E+001                  5.4782446223287522E+000                 -3.2888201015264729E+000                  1.0312961421408065E+001                  6.2131648068723921E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399743E-003                  3.4416106108120259E-003                  9.3604466091399760E-003                  7.0000000000000107E-001                  2.7997020236474895E-001                 -2.0868305473280614E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.5959678239948086E-001                                        0                                        0 
                                      10                  2.5958682111999992E-004                  1.0000000000000000E+000                 -4.2873687855713767E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      558                  3.1227643579926603E-007                  9.1619336319348255E-001                  2.4035186152428993E-004                  9.9335629844022988E-001                  9.6670814340558675E-001                  9.1619336319348255E-001                  2.4035186152428993E-004                  9.9335629844022988E-001                  9.6670814340558675E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0868288077724422E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0868288077724422E+001                  3.6285287240157857E+000                  2.5229130968936815E+002                  2.4019022912668646E+000                  1.4671525340544880E+000                  1.5035842853041490E+000                  3.1884843178292286E+001                  5.4782456807762108E+000                 -3.2888183601259429E+000                  1.0312964229252684E+001                  6.2131647853233185E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399743E-003                  3.4416106108120254E-003                  9.3604466091399760E-003                  7.0000000000000107E-001                  2.7997020236474895E-001                 -2.0868288077724422E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3119899712764611E-001                                        0                                        0 
                                      15                  7.2035107872931792E-004                  1.0000000000000000E+000                 -3.8914625553332525E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      555                  3.1200500598500931E-007                  9.1619336319348321E-001                  2.4035202970446100E-004                  9.9356726230851766E-001                  9.6464502115234918E-001                  9.1619336319348321E-001                  2.4035202970446100E-004                  9.9356726230851766E-001                  9.6464502115234918E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0868246737060588E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0868246737060588E+001                  3.6203123373424178E+000                  2.3345732875232042E+002                  2.3682075119645467E+000                  1.4667379177500637E+000                  1.5044135179129976E+000                  3.1945781575640044E+001                  5.4782481513656682E+000                 -3.2888144086334985E+000                  1.0312970670519839E+001                  6.2131647341937546E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399743E-003                  3.4416106108120250E-003                  9.3604466091399760E-003                  7.0000000000000107E-001                  2.7997020236474901E-001                 -2.0868246737060588E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.8776129503299796E-001                                        0                                        0 
                                      20                  1.8668799962237360E-003                  1.0000000000000000E+000                 -3.4955563250951283E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      558                  3.1134802446934400E-007                  9.1619336319348343E-001                  2.4035283027458036E-004                  9.9396986968559009E-001                  9.6246289534566543E-001                  9.1619336319348343E-001                  2.4035283027458036E-004                  9.9396986968559009E-001                  9.6246289534566543E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0868154616871252E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0868154616871252E+001                  3.6085321483702333E+000                  2.0880626821403200E+002                  2.3197435317339843E+000                  1.4660663055791514E+000                  1.5057567422548221E+000                  3.2044739264836643E+001                  5.4782535320318964E+000                 -3.2888059863841161E+000                  1.0312984516061638E+001                  6.2131646215015079E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399743E-003                  3.4416106108120241E-003                  9.3604466091399760E-003                  7.0000000000000107E-001                  2.7997020236474895E-001                 -2.0868154616871252E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.1026678930481759E-001                                        0                                        0 
                                      25                  4.7198108322034464E-003                  1.0000000000000000E+000                 -3.0996500948570045E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      554                  3.0973019649341774E-007                  9.2075751747962020E-001                  2.4035832879665587E-004                  9.9434797384209028E-001                  9.6132533653419450E-001                  9.2075751747962020E-001                  2.4035832879665587E-004                  9.9434797384209028E-001                  9.6132533653419450E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0867968744031170E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0867968744031170E+001                  3.5958228476298393E+000                  1.8500647197630266E+002                  2.2671869213458860E+000                  1.4652066018658900E+000                  1.5074761496813451E+000                  3.2171858483999827E+001                  5.4782642378003725E+000                 -3.2887894390450034E+000                  1.0313011854944623E+001                  6.2131643957908167E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399743E-003                  3.4416106108120233E-003                  9.3604466091399760E-003                  7.0000000000000107E-001                  2.7997020236474901E-001                 -2.0867968744031170E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9865694938226388E-002                                        0                                        0 
                                      30                  1.1818815689988476E-002                  1.0000000000000000E+000                 -2.7037438646188803E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      553                  3.0566012452868882E-007                  9.2295440446508692E-001                  2.4041033582492170E-004                  9.9495496789430915E-001                  9.5895336574843471E-001                  9.2295440446508692E-001                  2.4041033582492170E-004                  9.9495496789430915E-001                  9.5895336574843471E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0867629661357437E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0867629661357437E+001                  3.5884331842739354E+000                  1.7241218216674525E+002                  2.2365679486167647E+000                  1.4646764422131371E+000                  1.5085364689868508E+000                  3.2250501249043538E+001                  5.4782837461261771E+000                 -3.2887594930562529E+000                  1.0313061466505067E+001                  6.2131639831669616E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399743E-003                  3.4416106108120224E-003                  9.3604466091399760E-003                  7.0000000000000107E-001                  2.7997020236474895E-001                 -2.0867629661357437E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.9281114948759256E-003                                        0                                        0 
                                      35                  2.9483411457712123E-002                  1.0000000000000000E+000                 -2.3078376343807565E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      554                  2.9501097779582789E-007                  9.2718386346026638E-001                  2.4101167194784308E-004                  9.9527285234290586E-001                  9.5771736493112281E-001                  9.2718386346026638E-001                  2.4101167194784308E-004                  9.9527285234290586E-001                  9.5771736493112281E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0867060991746605E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0867060991746605E+001                  3.5869937763434883E+000                  1.7001024849666581E+002                  2.2304751021511815E+000                  1.4645088348412396E+000                  1.5088716837306457E+000                  3.2275403745550314E+001                  5.4783186584924746E+000                 -3.2887061222271590E+000                  1.0313150032102405E+001                  6.2131632437340911E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399743E-003                  3.4416106108120215E-003                  9.3604466091399760E-003                  7.0000000000000107E-001                  2.7997020236474895E-001                 -2.0867060991746605E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7872935702814468E-003                                        0                                        0 
                                      40                  7.3438578398454205E-002                  1.0000000000000000E+000                 -1.9119314041426323E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                                      553                  2.6430928818514211E-007                  9.3120206602031952E-001                  6.2552401402571153E-007                  9.9557121754001954E-001                  9.5644693901518496E-001                  9.3120206602031952E-001                  6.2552401402571153E-007                  9.9557121754001954E-001                  9.5644693901518496E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0866515777611735E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0866515777611735E+001                  3.5860058222045086E+000                  1.6814868754362564E+002                  2.2256934818511560E+000                  1.4640939329691880E+000                  1.5097014874747490E+000                  3.2337131109425897E+001                  5.4783853123196176E+000                 -3.2886044996349635E+000                  1.0313318848845485E+001                  6.2131618322789872E-001                  8.5000496627254196E-001                  1.2966439685554809E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416106108120415E-003                  9.3604466091399743E-003                  3.4416106108120215E-003                  9.3604466091399760E-003                  7.0000000000000107E-001                  2.7997020236474895E-001                 -2.0866515777611735E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.3522165694455357E-003                                        0                                        0 
